# N11 anlaşmalı kargo desi tarifesi — embedded seed kaynağı.
# Üretildi: .claude/research/channel-cargo/n11-anlasmali-kargo-RAW-2026-07-26.txt (birebir; interpolasyon YOK).
# Tutarlar KDV ve Posta Hizmet Bedeli HARİÇ, ondalık ayırıcı INVARIANT nokta.
# Desi 0 = pazaryerinin 'Dosya' satırı. Tablo 100'e kadar; üstü CARRIER.OverflowIncrement ile doğrusal uzatılır.

[META]
Version	2026-07-26
Channel	TrN11
VatRate	0.20
PostalServiceFeeRate	0.0235
ConditionalMaxDesi	10

# HeavyCargoAmount BİLİNÇLİ OLARAK YOK: kaynak metindeki '4,250 / 3,000' yazımında virgülün ondalık
# mı binlik mi olduğu belirsiz (1000x hata riski) — Hakan teyit edene kadar hiçbir hesaba girmez.
[CARRIER]
Code	Name	ChargeBasis	OverflowIncrement	FailedDeliveryRate	ExtraFee
ARAS	Aras Kargo	Cumulative	12.57	0.50	0.00
SURAT	Sürat Kargo	Cumulative	14.38	0.50	0.00
PTT	PTT Kargo	PerPiece	28.25	0.30	0.00
YURTICI	Yurtiçi Kargo	Cumulative	13.79	0.50	0.60
KOLAYGELSIN	Kolay Gelsin/Sendeo	Cumulative	11.50	0.50	0.00
DHL	DHL e-Commerce	Cumulative	35.16	1.00	0.00

[DESI]
Desi	ARAS	SURAT	PTT	YURTICI	KOLAYGELSIN	DHL
0	90.50	95.32	75.76	117.84	98.39	99.16
1	90.50	95.32	75.76	117.84	98.39	99.16
2	92.14	95.32	75.76	120.83	98.39	99.16
3	102.81	107.52	93.79	128.50	108.89	112.35
4	113.82	117.25	95.26	131.04	120.44	126.03
5	122.05	121.56	95.26	146.32	129.89	137.75
6	132.97	133.13	98.38	151.43	140.39	151.43
7	141.02	142.44	103.85	171.10	149.84	160.22
8	150.45	151.10	114.78	178.31	160.34	170.00
9	159.07	160.55	125.72	188.91	169.79	181.72
10	170.09	169.74	142.11	197.37	181.34	191.49
11	179.27	183.45	149.39	210.20	191.83	201.26
12	185.87	191.17	156.68	223.36	203.39	212.01
13	194.30	198.89	163.97	230.64	213.89	221.78
14	201.80	206.61	171.26	248.87	225.44	231.55
15	209.24	214.20	178.54	262.11	236.99	246.20
16	220.97	222.19	185.83	269.32	248.53	283.33
17	232.63	233.91	193.12	284.17	260.09	297.01
18	244.37	245.62	200.41	298.72	271.64	316.55
19	256.06	257.46	207.69	305.07	283.19	341.95
20	261.08	269.18	214.98	311.44	294.73	359.54
21	274.24	281.30	222.27	329.33	306.29	373.22
22	286.25	292.08	227.74	343.78	317.84	381.04
23	298.24	302.86	235.03	352.24	329.39	408.39
24	308.90	313.64	242.32	359.05	340.94	433.80
25	319.50	324.43	249.60	383.82	352.49	460.18
26	334.36	334.81	256.89	419.55	364.04	486.56
27	347.93	345.33	264.18	439.02	375.59	512.94
28	360.06	355.71	271.47	459.06	387.14	539.32
29	373.97	366.09	278.75	474.79	398.69	565.70
30	384.58	376.48	286.04	479.50	410.24	593.05
31	397.15	450.37	400.81	493.27	421.74	628.21
32	409.72	463.41	409.93	507.08	433.24	663.37
33	422.29	476.59	419.04	520.82	444.74	698.53
34	434.86	489.63	429.97	534.59	456.24	733.69
35	447.43	502.82	439.08	548.39	467.74	768.85
36	460.00	515.86	448.19	562.17	479.24	804.01
37	472.57	529.04	459.12	576.00	490.74	839.17
38	485.14	542.09	468.23	589.75	502.24	874.33
39	497.71	555.27	477.34	603.57	513.74	909.49
40	510.28	574.44	488.27	617.34	525.24	944.65
41	522.85	587.75	497.38	631.13	536.74	979.81
42	535.42	600.93	506.49	644.93	548.24	1014.97
43	547.99	614.24	517.42	658.61	559.74	1050.13
44	560.56	627.42	526.53	672.43	571.24	1085.29
45	573.13	640.74	535.64	686.20	582.74	1120.45
46	585.70	653.91	546.57	700.01	594.24	1155.61
47	598.27	667.22	555.68	713.82	605.74	1190.77
48	610.84	680.41	564.79	727.61	617.24	1225.93
49	623.41	693.72	575.72	741.38	628.74	1261.09
50	635.98	706.89	584.83	755.19	640.24	1296.25
51	648.55	720.21	598.07	768.93	651.74	1331.41
52	661.12	733.39	611.30	782.76	663.24	1366.57
53	673.69	746.70	624.54	796.46	674.74	1401.73
54	686.26	759.88	637.77	810.27	686.24	1436.89
55	698.83	773.19	651.00	824.05	697.74	1472.05
56	711.40	786.37	664.24	837.87	709.24	1507.21
57	723.97	799.69	677.47	851.66	720.74	1542.37
58	736.54	812.86	690.70	865.48	732.24	1577.53
59	749.11	826.17	703.94	879.23	743.74	1612.69
60	761.68	839.36	717.17	893.05	755.24	1647.85
61	774.25	852.67	730.41	906.77	766.74	1683.01
62	786.82	865.85	743.64	920.62	778.24	1718.17
63	799.39	879.16	756.87	934.31	789.74	1753.33
64	811.96	892.34	770.11	948.13	801.24	1788.49
65	824.53	905.65	783.34	961.88	812.74	1823.65
66	837.10	918.83	796.58	975.72	824.24	1858.81
67	849.67	932.14	809.81	989.50	835.74	1893.97
68	862.24	945.33	823.04	1003.31	847.24	1929.13
69	874.81	958.64	836.28	1017.06	858.74	1964.29
70	887.38	971.81	849.51	1030.88	870.24	1999.45
71	899.95	985.13	862.75	1044.62	881.74	2034.61
72	912.52	998.31	875.98	1058.47	893.24	2069.77
73	925.09	1011.62	889.21	1072.17	904.74	2104.93
74	937.66	1024.80	902.45	1085.98	916.24	2140.09
75	950.23	1038.11	915.68	1099.76	927.74	2175.25
76	962.80	1051.29	928.92	1113.55	939.24	2210.41
77	975.37	1064.61	942.15	1127.32	950.74	2245.57
78	987.94	1077.78	955.38	1141.15	962.24	2280.73
79	1000.51	1091.09	968.62	1154.92	973.74	2315.89
80	1013.08	1104.28	981.85	1168.73	985.24	2351.05
81	1025.65	1117.59	995.09	1182.48	996.74	2386.21
82	1038.22	1130.76	1008.32	1196.32	1008.24	2421.37
83	1050.79	1144.08	1021.55	1210.00	1019.74	2456.53
84	1063.36	1157.26	1034.79	1223.81	1031.24	2491.69
85	1075.93	1170.57	1048.02	1237.62	1042.74	2526.85
86	1088.50	1183.75	1061.25	1251.41	1054.24	2562.01
87	1101.07	1197.06	1074.49	1265.18	1065.74	2597.17
88	1113.64	1210.24	1087.72	1278.99	1077.24	2632.33
89	1126.21	1223.56	1100.96	1292.76	1088.74	2667.49
90	1138.78	1236.73	1114.19	1306.59	1100.24	2702.65
91	1151.35	1250.04	1127.42	1320.37	1111.74	2737.81
92	1163.92	1263.23	1140.66	1334.15	1123.24	2772.97
93	1176.49	1276.54	1153.89	1347.85	1134.74	2808.13
94	1189.06	1289.72	1167.13	1361.66	1146.24	2843.29
95	1201.63	1303.03	1180.36	1375.47	1157.74	2878.45
96	1214.20	1316.21	1193.59	1389.21	1169.24	2913.61
97	1226.77	1329.39	1206.83	1403.03	1180.74	2948.77
98	1239.34	1342.70	1220.06	1416.77	1192.24	2983.93
99	1251.91	1356.01	1233.30	1430.60	1203.74	3019.09
100	1264.48	1369.20	2441.33	1444.41	1215.24	3054.25

# Şartlı barem: sepet < 300 TL VE gönderi <= ConditionalMaxDesi iken desi tarifesi yerine sabit ücret.
[CONDITIONAL]
BasketFrom	BasketTo	ARAS	SURAT	PTT	YURTICI	KOLAYGELSIN	DHL
0	149.99	48.33	54.58	34.16	83.33	55.83	57.08
149.99	299.99	79.16	85.41	65.83	113.33	86.66	87.91
